Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Reminder Date,Reminder Time,Meeting Organizer,Required Attendees,Optional Attendees,Meeting Resources,Billing Information,Categories,Description,Location,Mileage,Priority,Private,Sensitivity,Show time as
HAW1-WEDE5020-Part 1,2024/08/15,08:00:00,2024/08/15,08:05:00,FALSE,FALSE,2024/08/15,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
DIS2po-DATA6222- Practical Assignment ,2024/08/15,08:00:00,2024/08/15,08:05:00,FALSE,FALSE,2024/08/15,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
DIS3-OPSC6312-Part 1,2024/08/19,08:00:00,2024/08/19,08:05:00,FALSE,FALSE,2024/08/19,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA3-OPSC7312-Part 1,2024/08/19,08:00:00,2024/08/19,08:05:00,FALSE,FALSE,2024/08/19,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
HAW1-MAST5112-Part 1,2024/08/22,08:00:00,2024/08/22,08:05:00,FALSE,FALSE,2024/08/22,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA2-CLDV6212-Part 1,2024/08/22,08:00:00,2024/08/22,08:05:00,FALSE,FALSE,2024/08/22,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
DIS3-APPR6312-Part 1,2024/08/26,08:00:00,2024/08/26,08:05:00,FALSE,FALSE,2024/08/26,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA1 -NWEG5122-Part 1,2024/08/29,08:00:00,2024/08/29,08:05:00,FALSE,FALSE,2024/08/29,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
HAW1-PIXD5112-Part 1,2024/08/29,08:00:00,2024/08/29,08:05:00,FALSE,FALSE,2024/08/29,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA1 -PROG6112-Practical Assignment,2024/09/03,08:00:00,2024/09/03,08:05:00,FALSE,FALSE,2024/09/03,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
DIS2po-IPMA6212-Assignment 1,2024/09/03,08:00:00,2024/09/03,08:05:00,FALSE,FALSE,2024/09/03,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA3-APDS7311-Part 1,2024/09/04,08:00:00,2024/09/04,08:05:00,FALSE,FALSE,2024/09/04,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA2-ADDB7311-Practical Assignment 1,2024/09/05,08:00:00,2024/09/05,08:05:00,FALSE,FALSE,2024/09/05,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA1 -PRSE6212-Assignment 1,2024/09/09,08:00:00,2024/09/09,08:05:00,FALSE,FALSE,2024/09/09,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA2-PROG6212-Part 1,2024/09/10,08:00:00,2024/09/10,08:05:00,FALSE,FALSE,2024/09/10,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
DIS2po-PROG6212-Part 1,2024/09/10,08:00:00,2024/09/10,08:05:00,FALSE,FALSE,2024/09/10,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA3-PROG7312-Part 1,2024/09/12,08:00:00,2024/09/12,08:05:00,FALSE,FALSE,2024/09/12,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
DIS1po-OPSY5121-Assignment 1,2024/09/16,08:00:00,2024/09/16,08:05:00,FALSE,FALSE,2024/09/16,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
DIS2po-HCIN6222-Part 1,2024/09/17,08:00:00,2024/09/17,08:05:00,FALSE,FALSE,2024/09/17,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
DIS3-SQAT6322-Assignment 1,2024/09/18,08:00:00,2024/09/18,08:05:00,FALSE,FALSE,2024/09/18,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA1 -ITPP5112-Assignment 1,2024/09/19,08:00:00,2024/09/19,08:05:00,FALSE,FALSE,2024/09/19,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
