Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Reminder Date,Reminder Time,Meeting Organizer,Required Attendees,Optional Attendees,Meeting Resources,Billing Information,Categories,Description,Location,Mileage,Priority,Private,Sensitivity,Show time as
BCA3 Group 1 OPSC7312 CR1,2024/10/14,08:20:00,2024/10/14,10:10:00,FALSE,FALSE,2024/10/14,08:20:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA3 Group 1 PROG7312 CR1,2024/10/14,10:20:00,2024/10/14,12:00:00,FALSE,FALSE,2024/10/14,10:20:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA2 Group 1 PROG6212 CR1,2024/10/14,13:00:00,2024/10/14,14:50:00,FALSE,FALSE,2024/10/14,13:00:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA2 Group 1 CLDV6212 CR1,2024/10/14,15:00:00,2024/10/14,16:30:00,FALSE,FALSE,2024/10/14,15:00:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA1 Group 1 PROG6112 CR2,2024/10/15,08:20:00,2024/10/15,12:00:00,FALSE,FALSE,2024/10/15,08:20:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA2 Group 1 PROG6212 CR1,2024/10/15,15:00:00,2024/10/15,16:30:00,FALSE,FALSE,2024/10/15,15:00:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA3 Group 1 PROG7312 CR1,2024/10/16,08:20:00,2024/10/16,10:10:00,FALSE,FALSE,2024/10/16,08:20:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA3 Group 1 PROG7312 CR1,2024/10/16,10:20:00,2024/10/16,12:00:00,FALSE,FALSE,2024/10/16,10:20:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA2 Group 1 CLDV6212 CR1,2024/10/16,13:00:00,2024/10/16,14:50:00,FALSE,FALSE,2024/10/16,13:00:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA1 Group 1 PROG6112 CR2,2024/10/17,08:20:00,2024/10/17,10:10:00,FALSE,FALSE,2024/10/17,08:20:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA3 Group 1 PROG7312 CR1,2024/10/17,10:20:00,2024/10/17,12:00:00,FALSE,FALSE,2024/10/17,10:20:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA2 Group 1 PROG6212 CR1,2024/10/17,13:00:00,2024/10/17,16:30:00,FALSE,FALSE,2024/10/17,13:00:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA3 Group 1 PROG7312 CR1,2024/10/18,08:20:00,2024/10/18,10:10:00,FALSE,FALSE,2024/10/18,08:20:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA1 Group 1 PROG6112 CR2,2024/10/18,10:20:00,2024/10/18,12:00:00,FALSE,FALSE,2024/10/18,10:20:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA2 Group 1 CLDV6212 CR1,2024/10/18,13:00:00,2024/10/18,14:50:00,FALSE,FALSE,2024/10/18,13:00:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA3 Group 1 OPSC7312 CR1,2024/10/21,08:20:00,2024/10/21,10:10:00,FALSE,FALSE,2024/10/21,08:20:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA3 Group 1 PROG7312 CR1,2024/10/21,10:20:00,2024/10/21,12:00:00,FALSE,FALSE,2024/10/21,10:20:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA2 Group 1 PROG6212 CR1,2024/10/21,13:00:00,2024/10/21,14:50:00,FALSE,FALSE,2024/10/21,13:00:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA1 Group 1 PROG6112 CR2,2024/10/22,08:20:00,2024/10/22,12:00:00,FALSE,FALSE,2024/10/22,08:20:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA2 Group 1 PROG6212 CR1,2024/10/22,15:00:00,2024/10/22,16:30:00,FALSE,FALSE,2024/10/22,15:00:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA1 Group 1 PROG6112 CR2,2024/10/23,08:20:00,2024/10/23,10:10:00,FALSE,FALSE,2024/10/23,08:20:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA3 Group 1 OPSC7312 CR1,2024/10/23,10:20:00,2024/10/23,12:00:00,FALSE,FALSE,2024/10/23,10:20:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA2 Group 1 CLDV6212 CR1,2024/10/23,13:00:00,2024/10/23,14:50:00,FALSE,FALSE,2024/10/23,13:00:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA1 Group 1 PROG6112 CR2,2024/10/24,08:20:00,2024/10/24,10:10:00,FALSE,FALSE,2024/10/24,08:20:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA3 Group 1 PROG7312 CR1,2024/10/24,10:20:00,2024/10/24,12:00:00,FALSE,FALSE,2024/10/24,10:20:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
BCA2 Group 1 CLDV6212 CR1,2024/10/24,13:00:00,2024/10/24,14:50:00,FALSE,FALSE,2024/10/24,13:00:00,,,,,,Lectuers,,,,Normal,FALSE,Normal,2
